pagec,content_type,type,agency,dest,byte_len,is_avail,fn,type_text
8,pdf,0,Maritime Industry Authority,Maritime Industry Authority/summary.txt,18064,True,03-MARINA2020_Executive_Summary.pdf,Executive Summary
8,pdf,0,Office for Transportation Security,Office for Transportation Security/summary.txt,16162,True,03-OTS2020_Executive_Summary.pdf,Executive Summary
8,pdf,0,Office of Transportation Cooperatives,Office of Transportation Cooperatives/summary.txt,14836,True,03-OTC2020_Executive_Summary.pdf,Executive Summary
9,pdf,0,Philippine Coast Guard,Philippine Coast Guard/summary.txt,23960,True,03-PCG2020_Executive_Summary.pdf,Executive Summary
8,pdf,0,Toll Regulatory Board,Toll Regulatory Board/summary.txt,13243,True,03-TRB2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,National Economic and Development Authority,National Economic and Development Authority/summary.txt,15859,True,03-NEDA2020_Executive_Summary.pdf,Executive Summary
59,pdf,4,Commission on Population and Development - Management Letter,Commission on Population and Development - Management Letter/summary.txt,113962,True,03_CPD2020_Observations_and_Recomm.pdf,Observations
4,pdf,0,Legislative-Executive Development Advisory Council,Legislative-Executive Development Advisory Council/summary.txt,9852,True,03_LEDAC2020_Executive_Summary.pdf,Executive Summary
4,pdf,0,Philippine National Volunteer Service Coordinating Agency,Philippine National Volunteer Service Coordinating Agency/summary.txt,9562,True,03_PNVSCA2020_Executive_Summary.pdf,Executive Summary
8,pdf,0,Philippine Statistical Research and Training Institute,Philippine Statistical Research and Training Institute/summary.txt,18049,True,03-PSRTI2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,Philippine Statistics Authority,Philippine Statistics Authority/summary.txt,14678,True,03_PSA2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,Public-Private Partnership Center of the Philippines,Public-Private Partnership Center of the Philippines/summary.txt,12548,True,03-PPPCP2020_Executive_Summary.pdf,Executive Summary
3,pdf,0,Tariff Commission,Tariff Commission/summary.txt,7286,True,03-TC2020_Executive_Summary.pdf,Executive Summary
59,pdf,3,Metropolitan Manila Development Authority - Management Letter,Metropolitan Manila Development Authority - Management Letter/summary.txt,162881,True,03-MMDA2020_Management_Letter.pdf,Management Letter
5,pdf,0,Office of the President,Office of the President/summary.txt,9454,True,03-OP2020_Executive_Summary.pdf,Executive Summary
7,pdf,3,Anti-Red Tape Authority - Management Letter,Anti-Red Tape Authority - Management Letter/summary.txt,13881,True,03-ARTA2020_ Management_Letter.pdf,Management Letter
5,pdf,0,Climate Change Commission,Climate Change Commission/summary.txt,10419,True,03-CCC2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,Commission on the Filipino Language,Commission on the Filipino Language/summary.txt,8532,True,03-CFL2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,Cooperative Development Authority,Cooperative Development Authority/summary.txt,12553,True,03-CDA2020_Executive_Summary.pdf,Executive Summary
4,pdf,0,Dangerous Drugs Board,Dangerous Drugs Board/summary.txt,7156,True,03-DDB2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,Film Development Council of the Philippines,Film Development Council of the Philippines/summary.txt,11951,True,03-FDCP2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,Games and Amusements Board,Games and Amusements Board/summary.txt,8505,True,03-GAB2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,Governance Commission for GOCCs,Governance Commission for GOCCs/summary.txt,11374,True,03-GCG2020_Executive_Summary.pdf,Executive Summary
4,pdf,0,Movie and Television Review and Classification Board,Movie and Television Review and Classification Board/summary.txt,6687,True,03-MTRCB2020_Executive_Summary .pdf,Executive Summary
5,pdf,0,National Anti-Poverty Commission,National Anti-Poverty Commission/summary.txt,10074,True,03-NAPC2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,National Archives of the Philippines,National Archives of the Philippines/summary.txt,11943,True,03-NAP2020_Executive_Summary.pdf,Executive Summary
7,pdf,0,National Commission for Culture and the Arts,National Commission for Culture and the Arts/summary.txt,14154,True,03-NCCA2020_Executive_Summary.pdf,Executive Summary
9,pdf,0,National Commission on Muslim Filipinos,National Commission on Muslim Filipinos/summary.txt,18851,True,03-NCMF2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,National Library of the Philippines,National Library of the Philippines/summary.txt,12998,True,03-NLP2020_Executive Summary.pdf,Executive Summary
6,pdf,0,National Historical Commission of the Philippines,National Historical Commission of the Philippines/summary.txt,11929,True,03-NHCP2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,National Youth Commission,National Youth Commission/summary.txt,8884,True,03-NYC2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,Optical Media Board,Optical Media Board/summary.txt,12473,True,03-OMB2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,Philippine Commission on Women,Philippine Commission on Women/summary.txt,11019,True,03-PCW2020_Executive_Summary.pdf,Executive Summary
4,pdf,0,Philippine Competition Commission,Philippine Competition Commission/summary.txt,6613,True,03-PCC2020_Executive_Summary.pdf,Executive Summary
4,pdf,0,Philippine Drug Enforcement Agency,Philippine Drug Enforcement Agency/summary.txt,6933,True,03-PDEA2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,Philippine Racing Commission,Philippine Racing Commission/summary.txt,8074,True,03-PhilRaCom2020_Executive_Summary.pdf,Executive Summary
3,pdf,0,Philippine Space Agency,Philippine Space Agency/summary.txt,5108,True,03-PhilSA2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,Philippine Sports Commission,Philippine Sports Commission/summary.txt,13585,True,03-PSC2020_Executive_Summary.pdf,Executive Summary
7,pdf,0,Presidential Commission for the Urban Poor,Presidential Commission for the Urban Poor/summary.txt,15349,True,03-PCUP2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,Presidential Legislative Liaison Office,Presidential Legislative Liaison Office/summary.txt,10280,True,03-PLLO2020_Executive_Summary.pdf,Executive Summary
4,pdf,0,Presidential Management Staff,Presidential Management Staff/summary.txt,8623,True,03-PMS2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,Office of the Vice President,Office of the Vice President/summary.txt,9686,True,03-OVP2020_Executive_Summary.pdf,Executive Summary
15,pdf,0,Overseas Workers Welfare Administration,Overseas Workers Welfare Administration/summary.txt,28413,True,03-OWWA2020_Executive_Summary.pdf,Executive Summary
7,pdf,0,Presidential Communications Operations Office,Presidential Communications Operations Office/summary.txt,13573,True,03-PCOO2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,Bureau of Broadcast Services,Bureau of Broadcast Services/summary.txt,9793,True,03-BBS2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,Bureau of Communications Services,Bureau of Communications Services/summary.txt,9927,True,03-BCS2020_Executive_Summary.pdf,Executive Summary
7,pdf,0,National Printing Office,National Printing Office/summary.txt,13505,True,03-NPO2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,News and Information Bureau,News and Information Bureau/summary.txt,9129,True,03-NIB2020_Executive_Summary.pdf,Executive Summary
10,pdf,0,Philippine Information Agency,Philippine Information Agency/summary.txt,21612,True,03-PIA2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,Presidential Broadcast Staff-RTVM,Presidential Broadcast Staff-RTVM/summary.txt,7483,True,03-PBS2020_Executive_Summary.pdf,Executive Summary
10,pdf,0,Eulogio Amang Rodriguez Institute of Science and Technology,Eulogio Amang Rodriguez Institute of Science and Technology/summary.txt,22319,True,03-EARIST2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,Marikina Polytechnic College,Marikina Polytechnic College/summary.txt,12635,True,03-MPC2020_Executive_Summary.pdf,Executive Summary
8,pdf,0,Philippine State College of Aeronautics,Philippine State College of Aeronautics/summary.txt,17523,True,03-PHILSCA2020_Executive_Summary.pdf,Executive Summary
